destin_place,effective_time,origin_place,planned_time,process_id,service_pos,service_type,transport_id,transport_oper
609,218.0,609,199.0,0,0,rcs,5182,incoming
256,215.0,609,210.0,0,1,dep,5182,incoming
256,736.0,609,935.0,0,1,rcf,5182,incoming
256,1539.0,256,840.0,0,0,dlv,5182,incoming
431,2880.0,431,3315.0,0,0,rcs,573,incoming
256,696.0,431,300.0,0,1,dep,573,incoming
256,515.0,431,1965.0,0,1,rcf,573,incoming
256,1280.0,256,2760.0,0,0,dlv,573,incoming
256,7559.0,256,9919.0,0,0,rcs,10121,outgoing
411,2865.0,256,240.0,0,1,dep,10121,outgoing
411,1265.0,256,1330.0,0,1,rcf,10121,outgoing
411,434.0,411,780.0,0,0,dlv,10121,outgoing
700,584.0,700,844.0,1,0,rcs,6523,incoming
431,297.0,700,90.0,1,1,dep,6523,incoming
431,1415.0,700,1935.0,1,1,rcf,6523,incoming
431,5790.0,431,3780.0,1,0,dlv,6523,incoming
257,2888.0,257,2964.0,1,0,rcs,13946,incoming
149,239.0,257,180.0,1,1,dep,13946,incoming
431,331.0,149,160.0,1,2,dep,13946,incoming
149,756.0,257,970.0,1,1,rcf,13946,incoming
431,1142.0,149,1080.0,1,2,rcf,13946,incoming
431,6628.0,431,7020.0,1,0,dlv,13946,incoming
431,3016.0,431,3030.0,1,0,rcs,626,outgoing
256,286.0,431,300.0,1,1,dep,626,outgoing
256,526.0,431,835.0,1,1,rcf,626,outgoing
256,445.0,256,3870.0,1,0,dlv,626,outgoing
456,4119.0,456,4380.0,2,0,rcs,5878,incoming
700,280.0,456,90.0,2,1,dep,5878,incoming
700,547.0,456,905.0,2,1,rcf,5878,incoming
700,321.0,700,3780.0,2,0,dlv,5878,incoming
700,642.0,700,1433.0,2,0,rcs,12691,outgoing
349,969.0,700,240.0,2,1,dep,12691,outgoing
349,1280.0,700,1200.0,2,1,rcf,12691,outgoing
349,1520.0,349,550.0,2,0,dlv,12691,outgoing
173,169.0,173,759.0,3,0,rcs,1275,incoming
349,777.0,173,240.0,3,1,dep,1275,incoming
671,1109.0,349,1340.0,3,2,dep,1275,incoming
349,577.0,173,340.0,3,1,rcf,1275,incoming
671,820.0,349,1240.0,3,2,rcf,1275,incoming
671,535.0,671,335.0,3,0,dlv,1275,incoming
671,3176.0,671,3963.0,3,0,rcs,12932,outgoing
700,883.0,671,90.0,3,1,dep,12932,outgoing
700,956.0,671,815.0,3,1,rcf,12932,outgoing
700,159.0,700,3780.0,3,0,dlv,12932,outgoing
411,1485.0,411,1597.0,4,0,rcs,8117,incoming
128,241.0,411,150.0,4,1,dep,8117,incoming
166,289.0,128,340.0,4,2,dep,8117,incoming
128,612.0,411,585.0,4,1,rcf,8117,incoming
166,135.0,128,130.0,4,2,rcf,8117,incoming
166,1255.0,166,4230.0,4,0,dlv,8117,incoming
166,179.0,166,152.0,4,0,rcs,12805,outgoing
128,131.0,166,180.0,4,1,dep,12805,outgoing
411,872.0,128,810.0,4,2,dep,12805,outgoing
128,167.0,166,230.0,4,1,rcf,12805,outgoing
411,346.0,128,740.0,4,2,rcf,12805,outgoing
411,4797.0,411,4140.0,4,0,dlv,12805,outgoing
815,98.0,815,181.0,5,0,rcs,9889,incoming
128,259.0,815,240.0,5,1,dep,9889,incoming
128,223.0,815,215.0,5,1,rcf,9889,incoming
128,115.0,128,4890.0,5,0,dlv,9889,incoming
128,59.0,128,59.0,5,0,rcs,9915,incoming
128,1934.0,128,525.0,5,1,dep,9915,incoming
128,2270.0,128,3615.0,5,1,rcf,9915,incoming
128,21025.0,128,3960.0,5,0,dlv,9915,incoming
128,29.0,128,136.0,5,0,rcs,6430,outgoing
597,308.0,128,240.0,5,1,dep,6430,outgoing
597,682.0,128,960.0,5,1,rcf,6430,outgoing
597,467.0,597,3960.0,5,0,dlv,6430,outgoing
815,212.0,815,1300.0,6,0,rcs,3997,incoming
391,1267.0,815,240.0,6,1,dep,3997,incoming
391,135.0,815,270.0,6,1,rcf,3997,incoming
391,2161.0,391,5070.0,6,0,dlv,3997,incoming
815,33.0,815,252.0,6,0,rcs,9805,incoming
391,399.0,815,240.0,6,1,dep,9805,incoming
391,164.0,815,275.0,6,1,rcf,9805,incoming
391,727.0,391,5070.0,6,0,dlv,9805,incoming
610,153.0,610,250.0,6,0,rcs,571,incoming
281,181.0,610,150.0,6,1,dep,571,incoming
391,764.0,281,415.0,6,2,dep,571,incoming
281,181.0,610,525.0,6,1,rcf,571,incoming
391,108.0,281,80.0,6,2,rcf,571,incoming
391,1258.0,391,2880.0,6,0,dlv,571,incoming
391,81.0,391,329.0,6,0,rcs,2544,outgoing
281,763.0,391,570.0,6,1,dep,2544,outgoing
281,79.0,391,80.0,6,1,rcf,2544,outgoing
281,151.0,281,2880.0,6,0,dlv,2544,outgoing
783,87.0,783,139.0,7,0,rcs,7125,incoming
815,232.0,783,240.0,7,1,dep,7125,incoming
128,563.0,815,460.0,7,2,dep,7125,incoming
815,154.0,783,255.0,7,1,rcf,7125,incoming
128,182.0,815,215.0,7,2,rcf,7125,incoming
128,374.0,128,4890.0,7,0,dlv,7125,incoming
815,110.0,815,303.0,7,0,rcs,10590,incoming
128,371.0,815,240.0,7,1,dep,10590,incoming
128,143.0,815,215.0,7,1,rcf,10590,incoming
128,919.0,128,4890.0,7,0,dlv,10590,incoming
128,19.0,128,119.0,7,0,rcs,6753,outgoing
597,298.0,128,240.0,7,1,dep,6753,outgoing
597,678.0,128,960.0,7,1,rcf,6753,outgoing
597,161.0,597,3960.0,7,0,dlv,6753,outgoing
815,68.0,815,387.0,8,0,rcs,10481,incoming
485,514.0,815,240.0,8,1,dep,10481,incoming
485,219.0,815,285.0,8,1,rcf,10481,incoming
